Release 13.4 - par O.87xd (lin64)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Wed Jan 15 16:41:38 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       bpm_dsp_example_map.ncd
OUTPUT FILE:      bpm_dsp_example_pad.txt
PART TYPE:        xc6vlx240t
SPEED GRADE:      -1
PACKAGE:          ff1156

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name     |Pin Usage|Pin Name                  |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|C20       |                |IOBM     |IO_L0P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|C21       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|C22       |                |IOBM     |IO_L19P_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|C23       |                |IOBS     |IO_L3N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|C24       |                |IOBM     |IO_L1P_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C25       |                |IOBS     |IO_L1N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C26       |                |         |VCCO_25                   |             |           |25            |          |         |           |         |any******|          |           |                |
|C27       |                |IOBS     |IO_L7N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C28       |                |IOBM     |IO_L9P_MRCC_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C29       |                |IOBM     |IO_L10P_MRCC_25           |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C30       |                |IOBM     |IO_L17P_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|C31       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|C32       |                |IOBM     |IO_L0P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|C33       |                |IOBM     |IO_L6P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|C34       |                |IOBS     |IO_L8N_SRCC_16            |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|D1        |                |OPAD     |MGTTXP0_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|D2        |                |OPAD     |MGTTXN0_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|D3        |                |         |MGTAVTT_N                 |             |           |              |          |         |           |         |         |          |           |                |
|D4        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|D5        |                |IPAD     |MGTRXP2_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|D6        |                |IPAD     |MGTRXN2_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|D7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|D8        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|D9        |                |IOBS     |IO_L4N_VREF_A10_D26_34    |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|D10       |                |IOBS     |IO_L3N_A12_D28_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|D11       |                |IOBM     |IO_L19P_GC_35             |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|D12       |                |IOBM     |IO_L17P_35                |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|D13       |                |         |VCCO_35                   |             |           |35            |          |         |           |         |any******|          |           |                |
|D14       |                |IOBM     |IO_L1P_35                 |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|D15       |                |IOBM     |IO_L19P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|D16       |                |IOBS     |IO_L13N_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|D17       |                |IOBS     |IO_L1N_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|D18       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|D19       |                |IOBS     |IO_L13N_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|D20       |                |IOBS     |IO_L0N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|D21       |                |IOBM     |IO_L12P_VRN_26            |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|D22       |                |IOBS     |IO_L19N_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|D23       |                |         |VCCO_26                   |             |           |26            |          |         |           |         |any******|          |           |                |
|D24       |                |IOBM     |IO_L8P_SRCC_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D25       |                |IOBM     |IO_L0P_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D26       |                |IOBS     |IO_L0N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D27       |                |IOBM     |IO_L4P_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D28       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|D29       |                |IOBS     |IO_L10N_MRCC_25           |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D30       |                |IOBS     |IO_L17N_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|D31       |                |IOBM     |IO_L15P_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|D32       |                |IOBS     |IO_L15N_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|D33       |                |         |VCCO_16                   |             |           |16            |          |         |           |         |any******|          |           |                |
|D34       |                |IOBM     |IO_L8P_SRCC_16            |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|E1        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E2        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E3        |                |IPAD     |MGTRXP1_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|E4        |                |IPAD     |MGTRXN1_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|E5        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E6        |                |         |MGTAVCC_N                 |             |           |              |          |         |           |         |         |          |           |                |
|E7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E8        |                |IOBM     |IO_L6P_A07_D23_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|E9        |                |IOBS     |IO_L6N_A06_D22_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|E10       |                |         |VCCO_34                   |             |           |34            |          |         |           |         |any******|          |           |                |
|E11       |                |IOBS     |IO_L19N_GC_35             |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|E12       |                |IOBS     |IO_L17N_35                |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|E13       |                |IOBM     |IO_L15P_SM7P_35           |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|E14       |                |IOBS     |IO_L5N_SM2N_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|E15       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E16       |                |IOBM     |IO_L13P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|E17       |                |IOBS     |IO_L0N_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|E18       |                |IOBM     |IO_L1P_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|E19       |                |IOBM     |IO_L13P_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|E20       |                |         |VCCO_26                   |             |           |26            |          |         |           |         |any******|          |           |                |
|E21       |                |IOBS     |IO_L12N_VRP_26            |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|E22       |                |IOBM     |IO_L6P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|E23       |                |IOBS     |IO_L6N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|E24       |                |IOBS     |IO_L8N_SRCC_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|E25       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|E26       |                |IOBM     |IO_L2P_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|E27       |                |IOBS     |IO_L4N_VREF_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|E28       |                |IOBS     |IO_L14N_VREF_25           |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|E29       |                |IOBM     |IO_L16P_VRN_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|E30       |                |         |VCCO_25                   |             |           |25            |          |         |           |         |any******|          |           |                |
|E31       |                |IOBS     |IO_L11N_SRCC_16           |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|E32       |                |IOBM     |IO_L2P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|E33       |                |IOBS     |IO_L2N_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|E34       |                |IOBM     |IO_L12P_VRN_16            |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|F1        |                |OPAD     |MGTTXP3_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|F2        |                |OPAD     |MGTTXN3_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|F3        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F4        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F5        |                |IPAD     |MGTREFCLK1N_116           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|F6        |                |IPAD     |MGTREFCLK1P_116           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|F7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F8        |                |         |CSI_B_0                   |             |           |              |          |         |           |         |         |          |           |                |
|F9        |                |IOBM     |IO_L2P_A15_D31_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|F10       |                |IOBS     |IO_L2N_A14_D30_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|F11       |                |IOBS     |IO_L2N_SM0N_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|F12       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F13       |                |IOBS     |IO_L15N_SM7N_35           |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|F14       |                |IOBM     |IO_L5P_SM2P_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|F15       |                |IOBS     |IO_L16N_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|F16       |                |IOBM     |IO_L12P_VRN_36            |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|F17       |                |         |VCCO_36                   |             |           |36            |          |         |           |         |any******|          |           |                |
|F18       |                |IOBM     |IO_L0P_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|F19       |                |IOBM     |IO_L8P_SRCC_26            |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|F20       |                |IOBS     |IO_L8N_SRCC_26            |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|F21       |                |IOBM     |IO_L10P_MRCC_26           |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|F22       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F23       |                |IOBS     |IO_L3N_D12_24             |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|F24       |                |IOBM     |IO_L3P_D13_24             |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|F25       |                |IOBM     |IO_L11P_SRCC_25           |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|F26       |                |IOBS     |IO_L2N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|F27       |                |         |VCCO_25                   |             |           |25            |          |         |           |         |any******|          |           |                |
|F28       |                |IOBM     |IO_L14P_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|F29       |                |IOBS     |IO_L16N_VRP_25            |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|F30       |                |IOBM     |IO_L3P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|F31       |                |IOBM     |IO_L11P_SRCC_16           |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|F32       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|F33       |                |IOBM     |IO_L10P_MRCC_16           |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|F34       |                |IOBS     |IO_L12N_VRP_16            |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|G1        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G2        |                |         |MGTAVTT_N                 |             |           |              |          |         |           |         |         |          |           |                |
|G3        |                |IPAD     |MGTRXP0_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|G4        |                |IPAD     |MGTRXN0_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|G5        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G6        |                |         |MGTAVCC_N                 |             |           |              |          |         |           |         |         |          |           |                |
|G7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G8        |                |         |RDWR_B_0                  |             |           |              |          |         |           |         |         |          |           |                |
|G9        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G10       |                |IOBS     |IO_L6N_SM3N_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|G11       |                |IOBM     |IO_L2P_SM0P_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|G12       |                |IOBM     |IO_L4P_35                 |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|G13       |                |IOBM     |IO_L0P_35                 |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|G14       |                |         |VCCO_35                   |             |           |35            |          |         |           |         |any******|          |           |                |
|G15       |                |IOBM     |IO_L16P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|G16       |                |IOBS     |IO_L12N_VRP_36            |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|G17       |                |IOBS     |IO_L3N_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|G18       |                |IOBM     |IO_L8P_SRCC_36            |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|G19       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G20       |                |IOBS     |IO_L10N_MRCC_26           |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|G21       |                |IOBM     |IO_L2P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|G22       |                |IOBS     |IO_L2N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|G23       |                |IOBS     |IO_L5N_D8_24              |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|G24       |                |         |VCCO_24                   |             |           |24            |          |         |           |         |any******|          |           |                |
|G25       |                |IOBS     |IO_L11N_SRCC_25           |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|G26       |                |IOBM     |IO_L6P_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|G27       |                |IOBS     |IO_L6N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|G28       |                |IOBS     |IO_L12N_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|G29       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|G30       |                |IOBS     |IO_L3N_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|G31       |                |IOBM     |IO_L5P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|G32       |                |IOBM     |IO_L17P_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|G33       |                |IOBS     |IO_L10N_MRCC_16           |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|G34       |                |         |VCCO_16                   |             |           |16            |          |         |           |         |any******|          |           |                |
|H1        |                |OPAD     |MGTTXP2_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|H2        |                |OPAD     |MGTTXN2_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|H3        |                |         |MGTAVTT_N                 |             |           |              |          |         |           |         |         |          |           |                |
|H4        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|H5        |                |IPAD     |MGTREFCLK0N_116           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|H6        |                |IPAD     |MGTREFCLK0P_116           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|H7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|H8        |                |         |DIN_0                     |             |           |              |          |         |           |         |         |          |           |                |
|H9        |sys_clk_n_i     |IOB      |IO_L0N_GC_34              |             |LVDS_25    |34            |          |         |           |         |         |LOCATED   |NO         |DIFF_TERM       |
|H10       |sys_rst_button_i|IOB      |IO_L6P_SM3P_35            |INPUT        |SSTL15     |35            |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|H11       |                |         |VCCO_35                   |             |           |35            |          |         |           |         |any******|          |           |                |
|H12       |                |IOBM     |IO_L12P_SM5P_35           |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|H13       |                |IOBS     |IO_L4N_VREF_35            |VREF Required|           |35            |          |         |           |         |0.75     |          |           |                |
|H14       |                |IOBS     |IO_L0N_35                 |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|H15       |                |IOBM     |IO_L18P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|H16       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|H17       |                |IOBM     |IO_L3P_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|H18       |                |IOBS     |IO_L8N_SRCC_36            |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|H19       |                |IOBM     |IO_L11P_SRCC_26           |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|H20       |                |IOBS     |IO_L11N_SRCC_26           |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|H21       |                |         |VCCO_26                   |             |           |26            |          |         |           |         |any******|          |           |                |
|H22       |                |IOBM     |IO_L14P_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|H23       |                |IOBM     |IO_L5P_D9_24              |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|H24       |                |IOBS     |IO_L7N_D4_24              |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|H25       |                |IOBM     |IO_L7P_D5_24              |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|H26       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|H27       |                |IOBM     |IO_L12P_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|H28       |                |IOBM     |IO_L18P_GC_25             |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|H29       |                |IOBS     |IO_L18N_GC_25             |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|H30       |                |IOBS     |IO_L5N_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|H31       |                |         |VCCO_16                   |             |           |16            |          |         |           |         |any******|          |           |                |
|H32       |                |IOBS     |IO_L17N_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|H33       |                |IOBS     |IO_L14N_VREF_16           |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|H34       |                |IOBM     |IO_L14P_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J1        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J2        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J3        |                |IPAD     |MGTRXP3_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|J4        |                |IPAD     |MGTRXN3_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|J5        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J6        |                |         |MGTAVCC_N                 |             |           |              |          |         |           |         |         |          |           |                |
|J7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J8        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J9        |sys_clk_p_i     |IOB      |IO_L0P_GC_34              |INPUT        |LVDS_25    |34            |          |         |           |NONE     |         |LOCATED   |NO         |DIFF_TERM       |
|J10       |                |IOBS     |IO_L14N_VREF_35           |VREF Required|           |35            |          |         |           |         |0.75     |          |           |                |
|J11       |                |IOBM     |IO_L14P_35                |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|J12       |                |IOBS     |IO_L12N_SM5N_35           |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|J13       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J14       |                |IOBS     |IO_L8N_SRCC_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|J15       |                |IOBS     |IO_L18N_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|J16       |                |IOBS     |IO_L14N_VREF_36           |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|J17       |                |IOBM     |IO_L14P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|J18       |                |         |VCCO_36                   |             |           |36            |          |         |           |         |any******|          |           |                |
|J19       |                |IOBS     |IO_L6N_36                 |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|J20       |                |IOBM     |IO_L4P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|J21       |                |IOBS     |IO_L4N_VREF_26            |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|J22       |                |IOBS     |IO_L14N_VREF_26           |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|J23       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J24       |                |IOBS     |IO_L9N_MRCC_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|J25       |                |IOBM     |IO_L9P_MRCC_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|J26       |                |IOBM     |IO_L1P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J27       |                |IOBS     |IO_L1N_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J28       |                |         |VCCO_16                   |             |           |16            |          |         |           |         |any******|          |           |                |
|J29       |                |IOBS     |IO_L7N_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J30       |                |IOBM     |IO_L13P_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J31       |                |IOBM     |IO_L19P_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J32       |                |IOBS     |IO_L19N_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|J33       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|J34       |                |IOBS     |IO_L16N_16                |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|K1        |                |OPAD     |MGTTXP1_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|K2        |                |OPAD     |MGTTXN1_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|K3        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|K4        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|K5        |                |IPAD     |MGTRXP2_115               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
